,cod_ccaa,des_ccaa_x,des_ccaa_y,pob_ccaa
0,1,ANDALUCÍA,Andalucía,8388107
1,2,ARAGÓN,Aragón,1308563
2,3,ASTURIAS,"Asturias, Principado de",1042608
3,4,ILLES BALEARS,"Balears, Illes",1107220
4,5,CANARIAS,Canarias,2101924
5,6,CANTABRIA,Cantabria,582206
6,7,CASTILLA Y LEÓN,Castilla y León,2447519
7,8,CASTILLA-LA MANCHA,Castilla - La Mancha,2041631
8,9,CATALUÑA,Cataluña,7522596
9,10,COMUNIDAD VALENCIANA,Comunitat Valenciana,4959968
10,11,EXTREMADURA,Extremadura,1087778
11,12,GALICIA,Galicia,2718525
12,13,MADRID,"Madrid, Comunidad de",6466996
13,14,REGIÓN DE MURCIA,"Murcia, Región de",1464847
14,15,C. FORAL DE NAVARRA,"Navarra, Comunidad Foral de",640647
15,16,PAÍS VASCO,País Vasco,2189534
16,21,LA RIOJA-CEUTA-MELILLA,"Rioja, La-Ceuta-Melilla",486339
17,17,,"Rioja, La",315794
18,18,,Ceuta,84519
19,19,,Melilla,86026
