cod_ccaa,des_ccaa_x,des_ccaa_y,pob_ccaa
1,ANDALUCÍA,Andalucía,8388107
2,ARAGÓN,Aragón,1308563
3,ASTURIAS,"Asturias, Principado de",1042608
4,ILLES BALEARS,"Balears, Illes",1107220
5,CANARIAS,Canarias,2101924
6,CANTABRIA,Cantabria,582206
7,CASTILLA Y LEÓN,Castilla y León,2447519
8,CASTILLA-LA MANCHA,Castilla - La Mancha,2041631
9,CATALUÑA,Cataluña,7522596
10,COMUNIDAD VALENCIANA,Comunitat Valenciana,4959968
11,EXTREMADURA,Extremadura,1087778
12,GALICIA,Galicia,2718525
13,MADRID,"Madrid, Comunidad de",6466996
14,REGIÓN DE MURCIA,"Murcia, Región de",1464847
15,C. FORAL DE NAVARRA,"Navarra, Comunidad Foral de",640647
16,PAÍS VASCO,País Vasco,2189534
21,LA RIOJA-CEUTA-MELILLA,"Rioja, La-Ceuta-Melilla",486339
17,,"Rioja, La",315794
18,,Ceuta,84519
19,,Melilla,86026
